,rxn_ID,Control,FeLim,FeEx,ZnLim,ZnEx,fluxes
232,rxn19246_d0,0.0,0.0,0.0,0.0,0.0,0.0
233,rxn19253_d0,0.0,0.0,0.0,0.0,0.0,0.0
234,rxn19343_d0_f,2.7864466,1.8614753,2.3730903,2.292228,2.0221105,0.1327845627377252
235,rxn19345_d0,10.034365,6.1444106,8.511551,8.149484,6.9574986,0.21137134476617475
236,rxn19544_d0,0.0,0.0,0.0,0.0,0.0,0.8102568216036694
237,rxn19545_d0,0.0,0.0,0.0,0.0,0.0,0.22492078994349357
238,rxn19686_d0_f,0.21224637,0.1494064,0.10801206,0.12365648,0.14430358,0.9620106075896404
239,rxn19828_d0_f,5.0672355,13.338062,8.0912895,8.484005,11.6908245,0.0
240,rxn19900_d0_f,3.677133,3.520618,3.6064034,3.527606,3.5183678,0.0
241,rxn19905_d0,0.639164,0.2693283,0.5053972,0.47313946,0.3536436,0.6178547000857416
242,rxn20583_d0_f,19.385048,18.46011,19.063503,19.014765,18.656425,0.0
243,rxn20595_d0,110.04728,56.116306,85.57324,80.862114,65.898346,250.00000000000028
244,rxn20632_d0,56.699055,33.243744,43.925377,43.251183,36.97322,125.00000000000016
245,rxn20643_d0_f,2.5293703,2.5572853,2.505552,2.4991648,2.540405,0.0
246,rxn23155_d0_f,0.0,0.0,0.0,0.0,0.0,0.0
247,rxn23415_d0_f,3.892448,3.8896267,3.8272078,3.8069155,3.8429277,0.0
248,rxn23805_d0,0.0,0.0,0.0,0.0,0.0,0.0
249,rxn24109_d0,0.0,0.0,0.0,0.0,0.0,0.13278456273772507
250,rxn24310_d0,0.0,0.0,0.0,0.0,0.0,0.0
251,rxn24312_d0,0.0,0.0,0.0,0.0,0.0,0.0
252,rxn24330_d0_f,2.1780112,1.9705713,2.0337374,2.0092978,1.9830501,0.0
253,rxn24358_d0,1.3490106,1.2490453,1.373875,1.3641515,1.3057909,0.0
254,rxn24360_d0,1.805356,1.6630363,1.8358394,1.8234704,1.7413688,0.0
255,rxn24362_d0_f,1.4800875,1.3313938,1.4809097,1.4687786,1.385638,0.0
256,rxn24508_d0_f,21.240032,19.864468,21.052532,21.055342,20.279293,0.04064833553195668
257,rxn25637_d0_f,1.0607897,1.0357077,1.0589383,1.0545558,1.0479434,0.9620106075896411
258,rxn25641_d0_f,0.7725969,0.7073339,0.76911366,0.7618922,0.7358333,0.0
259,rxn25647_d0_f,2.8961422,2.9521437,3.0056167,3.0169287,2.991949,0.9620106075896413
260,rxn25649_d0_f,18.069832,17.463985,17.89722,17.810837,17.5791,0.0
261,rxn25661_d0_f,3.191754,3.1556532,3.1516395,3.1500626,3.1452732,0.0
262,rxn25662_d0,0.0,0.0,0.0,0.0,0.0,0.0
263,rxn25716_d0_f,4.4812984,4.819425,4.7516193,4.7440968,4.8259606,0.07045711492205826
264,rxn25718_d0_f,9.351846,8.81424,9.279415,9.219596,8.9511175,0.0
265,rxn25719_d0_f,0.55179435,0.31802207,0.49972397,0.48182854,0.34146112,0.07045711492205821
266,rxn25743_d0_f,0.98559695,0.87918454,0.965731,0.9570621,0.9079894,0.9620106075896412
267,rxn25747_d0_f,0.7194962,0.8075431,0.76730734,0.7687079,0.79393494,0.0
268,rxn25750_d0_f,9.46985,9.098912,9.387534,9.321942,9.155794,0.0
269,rxn25762_d0,0.0,0.0,0.0,0.0,0.0,0.0
270,rxn26013_d0_f,1.515709,1.4558634,1.5590776,1.5440704,1.4975867,0.06503733685113068
271,rxn26037_d0_f,1.1238487,0.8766464,1.0098448,0.9866368,0.9176052,0.0
272,rxn26754_d0,220.53363,116.29567,177.44696,169.65686,138.806,500.00000000000057
273,rxn27029_d0,0.0,0.0,0.0,0.0,0.0,0.0
274,rxn27030_d0,0.0,0.0,0.0,0.0,0.0,0.0
275,rxn27259_d0,64.78588,60.40936,63.325333,62.877808,61.26942,0.2113713447661747
276,rxn27266_d0_f,0.9399609,2.302991,1.6109592,1.750043,2.4230971,0.0
277,rxn27497_d0,0.0,0.0,0.0,0.0,0.0,0.46610091409976967
278,rxn27709_d0,0.0,0.0,0.0,0.0,0.0,0.06503733685113067
